K,scenario,fpr,method,mean
5,3,0.005,glmnetFPR,0.813306070158242
5,3,0.005,glmnetPCFPR,0.8839209885001316
5,3,0.005,ggmixFPR,0.8001283785559801
5,3,0.006,pglmmFPR,0.8795720279067503
5,3,0.006,glmnetFPR,0.8220924777226881
5,3,0.006,glmnetPCFPR,0.8857321174242329
5,3,0.006,ggmixFPR,0.8027399753118845
5,3,0.007,pglmmFPR,0.8811493472343137
5,3,0.007,glmnetFPR,0.8314182535719767
5,3,0.007,glmnetPCFPR,0.8870760089889594
5,3,0.007,ggmixFPR,0.8062754486610045
5,3,0.008,pglmmFPR,0.8823543057096492
5,3,0.008,glmnetFPR,0.8380007829279705
5,3,0.008,glmnetPCFPR,0.8880133620749942
5,3,0.008,ggmixFPR,0.8084534031493584
5,3,0.009,pglmmFPR,0.8831056608774681
5,3,0.009,glmnetFPR,0.8432428927028579
5,3,0.009,glmnetPCFPR,0.8890886505246719
5,3,0.009,ggmixFPR,0.8118725724219259
5,3,0.01,pglmmFPR,0.884003025887205
5,3,0.01,glmnetFPR,0.8482318509296123
5,3,0.01,glmnetPCFPR,0.8899340842221614
5,3,0.01,ggmixFPR,0.8142072042455655
